Orden;TPV;fecha;Creador;Estado;Negocio;Moneda;Precio;;
TPE-p-00000-07318;transfermovil;26 de octubre de 2022;katherine05;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07314;transfermovil;26 de octubre de 2022;tellezyadira74;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07313;transfermovil;26 de octubre de 2022;drekecarmenatej;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07311;transfermovil;26 de octubre de 2022;drekecarmenatej;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07310;transfermovil;26 de octubre de 2022;tellezyadira74;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07294;transfermovil;26 de octubre de 2022;alain1607;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07292;transfermovil;26 de octubre de 2022;saylilopez89;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07288;transfermovil;26 de octubre de 2022;hdezcastilloneisser;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07286;transfermovil;26 de octubre de 2022;ilianaga;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07284;transfermovil;26 de octubre de 2022;yurdelis.mesa;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07282;transfermovil;26 de octubre de 2022;mariadelacreyes;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07281;transfermovil;26 de octubre de 2022;valiavalentina.arevalo;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07280;transfermovil;26 de octubre de 2022;yarilennys83;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07278;transfermovil;26 de octubre de 2022;fagr.gonzalez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07276;transfermovil;26 de octubre de 2022;dorisnelycruz;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07274;transfermovil;26 de octubre de 2022;jaime.g82;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07272;transfermovil;26 de octubre de 2022;daniajorge1997;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07270;transfermovil;26 de octubre de 2022;adai.tamayo;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07268;transfermovil;26 de octubre de 2022;leyvaelisbet95;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07266;transfermovil;26 de octubre de 2022;keniatamayosimono;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07264;transfermovil;26 de octubre de 2022;yaquimila.batista;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07263;transfermovil;26 de octubre de 2022;orlandolopezortiz34;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07261;transfermovil;26 de octubre de 2022;hectorluisierra.79;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07259;transfermovil;26 de octubre de 2022;yanelyrc79;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07257;transfermovil;26 de octubre de 2022;elizkami29;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07256;transfermovil;26 de octubre de 2022;carlosfedez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07254;transfermovil;26 de octubre de 2022;beife;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07253;transfermovil;26 de octubre de 2022;ariadnamta79;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07252;transfermovil;26 de octubre de 2022;saydelpineda2020;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07251;transfermovil;26 de octubre de 2022;maibis.munoz;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07249;transfermovil;26 de octubre de 2022;andniurislicea;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07248;transfermovil;26 de octubre de 2022;ideliza80;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07247;transfermovil;26 de octubre de 2022;master1987;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07245;transfermovil;26 de octubre de 2022;raullorenzo.garcia;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07243;transfermovil;26 de octubre de 2022;iderescalantecarralero;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07241;transfermovil;26 de octubre de 2022;leyvaalejandro66;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07240;transfermovil;26 de octubre de 2022;izaidadieparondon;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07239;transfermovil;26 de octubre de 2022;maryenymanzano73;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07237;transfermovil;26 de octubre de 2022;yaspron;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07235;transfermovil;26 de octubre de 2022;yanexi.merino;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07233;transfermovil;26 de octubre de 2022;yimerlaffita83;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07232;transfermovil;26 de octubre de 2022;marielaalmaguer72;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07230;transfermovil;26 de octubre de 2022;rarevalomayedo;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07229;transfermovil;26 de octubre de 2022;mayegarcia8208;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07227;transfermovil;26 de octubre de 2022;penayana86;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07226;transfermovil;26 de octubre de 2022;cjodarrodriguez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07225;transfermovil;26 de octubre de 2022;barbarasilvavarela;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07223;transfermovil;26 de octubre de 2022;irimami2020;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07222;transfermovil;26 de octubre de 2022;luis.reyes;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07221;transfermovil;26 de octubre de 2022;andresfigueredof;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07215;transfermovil;25 de octubre de 2022;denia466;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07214;transfermovil;25 de octubre de 2022;reynahunghenry;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07210;transfermovil;25 de octubre de 2022;reynahunghenry;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07205;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07201;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07199;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07195;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07194;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07192;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07189;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07188;transfermovil;25 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07119;transfermovil;25 de octubre de 2022;pascualosorioperez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07118;transfermovil;25 de octubre de 2022;anaikis.ml;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07117;transfermovil;25 de octubre de 2022;raulbarcelolicea;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07115;transfermovil;25 de octubre de 2022;aliuska8512;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07113;transfermovil;25 de octubre de 2022;bmsanchez;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07112;transfermovil;25 de octubre de 2022;sorayapereztejeda8;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07110;transfermovil;25 de octubre de 2022;lissett9004;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07108;transfermovil;25 de octubre de 2022;yusleydiscl;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07106;transfermovil;25 de octubre de 2022;ariocharr;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07104;transfermovil;25 de octubre de 2022;vivianoro20;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07103;transfermovil;25 de octubre de 2022;liettysanjuan91;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07102;transfermovil;25 de octubre de 2022;yanine.fontes;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07100;transfermovil;25 de octubre de 2022;marielarivasleyva;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07098;transfermovil;25 de octubre de 2022;leydisyuselis;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07097;transfermovil;25 de octubre de 2022;disnierp;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07096;transfermovil;25 de octubre de 2022;maritzaverdecia498;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07095;transfermovil;25 de octubre de 2022;yordanis.ceballo;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07094;transfermovil;25 de octubre de 2022;yusdelrojas;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07092;transfermovil;25 de octubre de 2022;keniatamayosimono;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07090;transfermovil;25 de octubre de 2022;yanetazan;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07089;transfermovil;25 de octubre de 2022;marianaestrellagamboa;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07086;transfermovil;25 de octubre de 2022;hdezcastilloneisser;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07085;transfermovil;25 de octubre de 2022;agmedina;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07083;transfermovil;25 de octubre de 2022;garciamenalidia;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07081;transfermovil;25 de octubre de 2022;yanetlizania836;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07079;transfermovil;25 de octubre de 2022;orlandgamez.20041;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07077;transfermovil;25 de octubre de 2022;yakeniaacostavaldes;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07075;transfermovil;25 de octubre de 2022;yanexi.merino;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07074;transfermovil;25 de octubre de 2022;dayliertuenvio;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07072;transfermovil;25 de octubre de 2022;hdezyanet830;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07071;transfermovil;25 de octubre de 2022;c648615;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07070;transfermovil;25 de octubre de 2022;adisleydiso;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07068;transfermovil;25 de octubre de 2022;babyd67;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07066;transfermovil;25 de octubre de 2022;reyesgarciac16;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07064;transfermovil;25 de octubre de 2022;kareliaqh78;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07063;transfermovil;25 de octubre de 2022;carmenmbd;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07060;transfermovil;25 de octubre de 2022;luisangelr894;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07059;transfermovil;25 de octubre de 2022;gonzalezperezlludielramon;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07057;transfermovil;25 de octubre de 2022;ismaeldominguezcervantes879;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07055;transfermovil;25 de octubre de 2022;yaquelinelg;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07053;transfermovil;25 de octubre de 2022;lujar;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07052;transfermovil;25 de octubre de 2022;ernestinaariasrivero;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07051;transfermovil;25 de octubre de 2022;franklin.manzano;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07049;transfermovil;25 de octubre de 2022;clarisbelperezmendoza;delivered;Tienda Virtual U...;CUP;237.11;;
TPE-p-00000-07002;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06992;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06985;transfermovil;24 de octubre de 2022;katherine05;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06970;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06963;transfermovil;24 de octubre de 2022;katherine05;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06929;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06927;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06926;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06925;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06924;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06922;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06921;transfermovil;24 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06920;transfermovil;24 de octubre de 2022;mayrin1958;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06917;transfermovil;24 de octubre de 2022;drekecarmenatej;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06915;transfermovil;24 de octubre de 2022;reynahunghenry;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06914;transfermovil;24 de octubre de 2022;reynahunghenry;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06912;transfermovil;24 de octubre de 2022;luciarivasmorales1964;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06910;transfermovil;24 de octubre de 2022;reynahunghenry;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06893;transfermovil;24 de octubre de 2022;pagoelectronico;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06880;transfermovil;24 de octubre de 2022;maf09;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06878;transfermovil;24 de octubre de 2022;luisarieljimenez87;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06876;transfermovil;24 de octubre de 2022;mariadelacreyes;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06874;transfermovil;24 de octubre de 2022;maritzaverdecia498;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06873;transfermovil;24 de octubre de 2022;luisdanielsc;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06872;transfermovil;24 de octubre de 2022;yiselperezchelala;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06871;transfermovil;24 de octubre de 2022;kadiralvarez800;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06869;transfermovil;24 de octubre de 2022;rhyanes2511;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06867;transfermovil;24 de octubre de 2022;yantadieguezalejandro;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06866;transfermovil;24 de octubre de 2022;ps.hermis7019;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06865;transfermovil;24 de octubre de 2022;maidelinsaumellbeaton;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06863;transfermovil;24 de octubre de 2022;escanellsadalanneudis;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06861;transfermovil;24 de octubre de 2022;mferrasperez;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06860;transfermovil;24 de octubre de 2022;carmenacostaramirez1967;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06859;transfermovil;24 de octubre de 2022;lissett9004;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06857;transfermovil;24 de octubre de 2022;rodelmy.lopez;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06856;transfermovil;24 de octubre de 2022;yudaisiacostamatos;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06855;transfermovil;24 de octubre de 2022;adolfinaodalys64;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06853;transfermovil;24 de octubre de 2022;carbonellnunezjoseluis;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06851;transfermovil;24 de octubre de 2022;leyvareyeskevin;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06849;transfermovil;24 de octubre de 2022;yanisleidys8912;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06848;transfermovil;24 de octubre de 2022;susana91guevara;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06847;transfermovil;24 de octubre de 2022;mada83;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06845;transfermovil;24 de octubre de 2022;julioalaincastellanosfernandez;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06844;transfermovil;24 de octubre de 2022;yurdelis.mesa;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06842;transfermovil;24 de octubre de 2022;beife;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06841;transfermovil;24 de octubre de 2022;rosaliacampomaceo;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06840;transfermovil;24 de octubre de 2022;alexytejeda35;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06839;transfermovil;24 de octubre de 2022;yarilennys83;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06837;transfermovil;24 de octubre de 2022;ernesto.oliva;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06835;transfermovil;24 de octubre de 2022;dayalaguna723;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06834;transfermovil;24 de octubre de 2022;lisi.mena86;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06832;transfermovil;24 de octubre de 2022;annierojaslopez0218;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06831;transfermovil;24 de octubre de 2022;alinacruz68;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06830;transfermovil;24 de octubre de 2022;yaime;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06798;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06797;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06796;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06795;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06794;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06792;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
TPE-p-00000-06790;transfermovil;22 de octubre de 2022;rafayudi2013;delivered;Tienda Virtual U...;CUP;237.1;;
