Orden;TPV;fecha;Creador;Estado;Negocio;Moneda;Precio
TPE-p-00000-13455;transfermovil;28 de noviembre de 2022;zeidatrazobares5;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13454;transfermovil;28 de noviembre de 2022;imandrapelaez;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13452;transfermovil;28 de noviembre de 2022;paulino600722;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13451;transfermovil;28 de noviembre de 2022;arianna.laguna;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13449;transfermovil;28 de noviembre de 2022;nunezjerez14;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13448;transfermovil;28 de noviembre de 2022;carloselcross;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13447;transfermovil;28 de noviembre de 2022;diosmari70;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13446;transfermovil;28 de noviembre de 2022;yudith.gongora;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13444;transfermovil;28 de noviembre de 2022;fonseca84;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13442;transfermovil;28 de noviembre de 2022;acolor;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13440;transfermovil;28 de noviembre de 2022;yamilkamoreno0;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13438;transfermovil;28 de noviembre de 2022;yaspron;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13437;transfermovil;28 de noviembre de 2022;orisdalisv;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13433;transfermovil;28 de noviembre de 2022;dinaracruz5;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13431;transfermovil;28 de noviembre de 2022;karinapenamohamed;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13430;transfermovil;28 de noviembre de 2022;lichac;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13426;transfermovil;28 de noviembre de 2022;silvagarciaraul95;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13424;transfermovil;28 de noviembre de 2022;anaikis.ml;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13421;transfermovil;28 de noviembre de 2022;alex.oro861122;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13420;transfermovil;28 de noviembre de 2022;vivianoro20;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13417;transfermovil;28 de noviembre de 2022;raulraidel72;delivered;Tienda Virtual U...;CUP;180
TPE-p-00000-13410;transfermovil;28 de noviembre de 2022;papiyovi75;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13408;transfermovil;28 de noviembre de 2022;ariannarubiomatos;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13407;transfermovil;28 de noviembre de 2022;ariguerraleyva;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13402;transfermovil;28 de noviembre de 2022;indi.musti;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13399;transfermovil;28 de noviembre de 2022;bmsanchez;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13395;transfermovil;28 de noviembre de 2022;joseoro8912;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13391;transfermovil;28 de noviembre de 2022;yamisleydis.popa;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13389;transfermovil;28 de noviembre de 2022;yenisete;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13387;transfermovil;28 de noviembre de 2022;claudiayinetr;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13384;transfermovil;28 de noviembre de 2022;elsidafonsecarodriguez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13382;transfermovil;28 de noviembre de 2022;yanirisperez2602;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13379;transfermovil;28 de noviembre de 2022;ambaryrey;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13378;transfermovil;28 de noviembre de 2022;lmariaelena279;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13376;transfermovil;28 de noviembre de 2022;victormricardo71;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13372;transfermovil;28 de noviembre de 2022;alexytejeda35;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13371;transfermovil;28 de noviembre de 2022;c648615;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13369;transfermovil;28 de noviembre de 2022;Yudisvit.carpio;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13367;transfermovil;28 de noviembre de 2022;niurisnr;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13365;transfermovil;28 de noviembre de 2022;mayelin.martinez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13364;transfermovil;28 de noviembre de 2022;ariatnisreyesgonzalez;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13361;transfermovil;28 de noviembre de 2022;arigleyva95;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13362;transfermovil;28 de noviembre de 2022;lisi.mena86;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13359;transfermovil;28 de noviembre de 2022;yuleidirojasrodriguez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13358;transfermovil;28 de noviembre de 2022;arisneydis99;delivered;Tienda Virtual U...;CUP;180
TPE-p-00000-13356;transfermovil;28 de noviembre de 2022;martin.jodar;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13354;transfermovil;28 de noviembre de 2022;beatrizguerra151;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13352;transfermovil;28 de noviembre de 2022;yanarachavezalarcon;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13349;transfermovil;28 de noviembre de 2022;cpupo;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13346;transfermovil;28 de noviembre de 2022;ana.aguilera;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13345;transfermovil;28 de noviembre de 2022;lourdesgonzalezllanes;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13343;transfermovil;28 de noviembre de 2022;sadysyaima;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13341;transfermovil;28 de noviembre de 2022;denis171175;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13339;transfermovil;28 de noviembre de 2022;aspronlauyadira;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13337;transfermovil;28 de noviembre de 2022;raymar2908;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13336;transfermovil;28 de noviembre de 2022;yosleisi.amado;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13334;transfermovil;28 de noviembre de 2022;anaelsapenavega;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13332;transfermovil;28 de noviembre de 2022;yudy9802;delivered;Tienda Virtual U...;CUP;180
TPE-p-00000-13330;transfermovil;28 de noviembre de 2022;elynaty9316;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13329;transfermovil;28 de noviembre de 2022;cristiansr;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13327;transfermovil;28 de noviembre de 2022;belloclaudia672;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13325;transfermovil;28 de noviembre de 2022;elizabeth.chavez3873;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13324;transfermovil;28 de noviembre de 2022;carralerorosa78;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13323;transfermovil;28 de noviembre de 2022;cjodarrodriguez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13319;transfermovil;27 de noviembre de 2022;anapereztunas;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13316;transfermovil;27 de noviembre de 2022;kadiralvarez800;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13313;transfermovil;27 de noviembre de 2022;arianna.laguna;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13311;transfermovil;27 de noviembre de 2022;andycm83;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13310;transfermovil;27 de noviembre de 2022;yicelarmas;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13309;transfermovil;27 de noviembre de 2022;ariadnagbello31;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13307;transfermovil;27 de noviembre de 2022;raymar2908;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13304;transfermovil;27 de noviembre de 2022;riselfm;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13303;transfermovil;27 de noviembre de 2022;yoiselider;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13301;transfermovil;27 de noviembre de 2022;raikorivero9101;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13300;transfermovil;27 de noviembre de 2022;btaniaelvira;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13299;transfermovil;27 de noviembre de 2022;avilalopezmislay.91;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13297;transfermovil;27 de noviembre de 2022;btaniaelvira;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13295;transfermovil;27 de noviembre de 2022;laryricardo73;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13292;transfermovil;27 de noviembre de 2022;syoiselolider;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13290;transfermovil;27 de noviembre de 2022;lidicy69;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13288;transfermovil;27 de noviembre de 2022;yadira.pc85;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13287;transfermovil;27 de noviembre de 2022;laryricardo73;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13285;transfermovil;27 de noviembre de 2022;irenesflores6;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13284;transfermovil;27 de noviembre de 2022;omarish2016;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13282;transfermovil;27 de noviembre de 2022;lya07;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13281;transfermovil;27 de noviembre de 2022;rachelcarixx;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13277;transfermovil;26 de noviembre de 2022;anapereztunas;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13276;transfermovil;26 de noviembre de 2022;greicisoria89;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13274;transfermovil;26 de noviembre de 2022;rachelcarixx;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13272;transfermovil;26 de noviembre de 2022;reynahunghenry;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13271;transfermovil;26 de noviembre de 2022;jorgeramileo;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13228;transfermovil;26 de noviembre de 2022;andresesteban.areas67;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13217;transfermovil;26 de noviembre de 2022;zenaida1064;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13215;transfermovil;26 de noviembre de 2022;daumier.zayas;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13209;transfermovil;26 de noviembre de 2022;juliette.ascanio;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13201;transfermovil;26 de noviembre de 2022;adonis48ca;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13199;transfermovil;26 de noviembre de 2022;andresesteban.areas67;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13197;transfermovil;26 de noviembre de 2022;emeurysc;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13187;transfermovil;26 de noviembre de 2022;marielarivasleyva;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13182;transfermovil;26 de noviembre de 2022;berthajulia1;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13181;transfermovil;26 de noviembre de 2022;tellezyadira74;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13179;transfermovil;26 de noviembre de 2022;santana.a35;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13176;transfermovil;26 de noviembre de 2022;jrovira596;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13171;transfermovil;26 de noviembre de 2022;aguerocristofer99;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13169;transfermovil;26 de noviembre de 2022;kareldm76;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13168;transfermovil;26 de noviembre de 2022;orgelina.dominguez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13165;transfermovil;26 de noviembre de 2022;estevezmatoszulay;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13162;transfermovil;26 de noviembre de 2022;luisangelr894;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13160;transfermovil;26 de noviembre de 2022;juako.garcia9517;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13150;transfermovil;26 de noviembre de 2022;master1987;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13148;transfermovil;26 de noviembre de 2022;jrodriguezaloma;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13147;transfermovil;26 de noviembre de 2022;iosbany.quintero;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13139;transfermovil;26 de noviembre de 2022;yulietls;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13137;transfermovil;26 de noviembre de 2022;modalis928;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13133;transfermovil;26 de noviembre de 2022;pablochoymiguel;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13132;transfermovil;26 de noviembre de 2022;rzalfer;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13128;transfermovil;26 de noviembre de 2022;betzybet1997;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13126;transfermovil;26 de noviembre de 2022;karinapenamohamed;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13125;transfermovil;26 de noviembre de 2022;yaisuarezmaceo;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13121;transfermovil;26 de noviembre de 2022;jayli99;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13117;transfermovil;26 de noviembre de 2022;danielvm081;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13115;transfermovil;26 de noviembre de 2022;mantillaurquizak;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13113;transfermovil;26 de noviembre de 2022;vivianoro20;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13112;transfermovil;26 de noviembre de 2022;cpupo;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13110;transfermovil;26 de noviembre de 2022;abelramirezcaballero1996;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13108;transfermovil;26 de noviembre de 2022;tunastanita74;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13104;transfermovil;26 de noviembre de 2022;madelinecamejo76;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13099;transfermovil;26 de noviembre de 2022;penamohamed71;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13098;transfermovil;26 de noviembre de 2022;rodelmy.lopez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13095;transfermovil;26 de noviembre de 2022;btaniaelvira;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13094;transfermovil;26 de noviembre de 2022;pascualosorioperez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13092;transfermovil;26 de noviembre de 2022;yaydelinegonzalez;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13091;transfermovil;26 de noviembre de 2022;karelisgarciarey;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13089;transfermovil;26 de noviembre de 2022;katia762804;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13088;transfermovil;26 de noviembre de 2022;gretelmendozalopez;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13087;transfermovil;26 de noviembre de 2022;byaneicy;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13085;transfermovil;26 de noviembre de 2022;anaikis.ml;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13083;transfermovil;26 de noviembre de 2022;jose.cuervo;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13077;transfermovil;26 de noviembre de 2022;liamaialvarez;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13075;transfermovil;26 de noviembre de 2022;odalysdiaz112;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13073;transfermovil;26 de noviembre de 2022;ambaryrey1961;on-delivery;Tienda Virtual U...;CUP;365.57
TPE-p-00000-13069;transfermovil;26 de noviembre de 2022;susana91guevara;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13065;transfermovil;26 de noviembre de 2022;dayliertuenvio;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13060;transfermovil;26 de noviembre de 2022;olgalidia3087;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13058;transfermovil;26 de noviembre de 2022;marled;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13057;transfermovil;26 de noviembre de 2022;mayegarcia8208;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13053;transfermovil;26 de noviembre de 2022;liudmy020;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13051;transfermovil;26 de noviembre de 2022;jorgelsmag;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13047;transfermovil;26 de noviembre de 2022;reinathalia86;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13046;transfermovil;26 de noviembre de 2022;maria960925;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13044;transfermovil;26 de noviembre de 2022;moralesdamaris9436;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13042;transfermovil;26 de noviembre de 2022;daysytuenvio;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13040;transfermovil;26 de noviembre de 2022;vivianoro20;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13036;transfermovil;26 de noviembre de 2022;ptatiana593;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13034;transfermovil;26 de noviembre de 2022;k.pena9209;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13030;transfermovil;26 de noviembre de 2022;katherine05;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13029;transfermovil;26 de noviembre de 2022;abdel7411;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13028;transfermovil;26 de noviembre de 2022;yanexycusidorodriguez;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13026;transfermovil;26 de noviembre de 2022;luisd.angel87;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13020;transfermovil;26 de noviembre de 2022;yoandraacosta7;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13019;transfermovil;26 de noviembre de 2022;yanirisperez2602;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13017;transfermovil;26 de noviembre de 2022;mariajosefacuervocalvino;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13016;transfermovil;26 de noviembre de 2022;leydsp;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-13008;transfermovil;26 de noviembre de 2022;choninoa;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13007;transfermovil;26 de noviembre de 2022;rolandoluismerino;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13002;transfermovil;26 de noviembre de 2022;martharosaescalona;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-13000;transfermovil;26 de noviembre de 2022;danifer.baby;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12990;transfermovil;26 de noviembre de 2022;moraleyvab;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12982;transfermovil;26 de noviembre de 2022;yantadieguezalejandro;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12976;transfermovil;26 de noviembre de 2022;maf09;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12974;transfermovil;26 de noviembre de 2022;alejandro.9602;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12973;transfermovil;26 de noviembre de 2022;jrovira596;on-delivery;Tienda Virtual U...;CUP;180
TPE-p-00000-12971;transfermovil;26 de noviembre de 2022;izaidadieparondon;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12969;transfermovil;26 de noviembre de 2022;anietramirez2013;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12967;transfermovil;26 de noviembre de 2022;rojasorodannely;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12867;transfermovil;22 de noviembre de 2022;morarolando60;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12862;transfermovil;22 de noviembre de 2022;cbarahonaaguilera0;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12755;transfermovil;22 de noviembre de 2022;katerinpf95;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12731;transfermovil;22 de noviembre de 2022;katia762804;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12718;transfermovil;22 de noviembre de 2022;josueabelparedes;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12631;transfermovil;22 de noviembre de 2022;raikorivero9101;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12627;transfermovil;22 de noviembre de 2022;drekecarmenatej;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12624;transfermovil;22 de noviembre de 2022;diosmari70;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12622;transfermovil;22 de noviembre de 2022;tamara700121;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12616;transfermovil;22 de noviembre de 2022;lazarofernandezford;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12610;transfermovil;22 de noviembre de 2022;elianisdejesus;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12607;transfermovil;22 de noviembre de 2022;gabe55alejandro;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12606;transfermovil;22 de noviembre de 2022;luisangelr894;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12604;transfermovil;22 de noviembre de 2022;luis.reyes;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12601;transfermovil;22 de noviembre de 2022;iraidayp;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12599;transfermovil;22 de noviembre de 2022;eladysfernandez73;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12598;transfermovil;22 de noviembre de 2022;perezromerodignora;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12596;transfermovil;22 de noviembre de 2022;aylin.reyescruz84;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12594;transfermovil;22 de noviembre de 2022;melaniagonzalezrondon;delivered;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12593;transfermovil;22 de noviembre de 2022;byaneicy;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12591;transfermovil;22 de noviembre de 2022;daimarar8801;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12590;transfermovil;22 de noviembre de 2022;penamohamed71;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12589;transfermovil;22 de noviembre de 2022;sadysyaima;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12587;transfermovil;22 de noviembre de 2022;carralerorosa78;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12585;transfermovil;22 de noviembre de 2022;maitelazaro1964;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12580;transfermovil;22 de noviembre de 2022;yolandapestana6;on-delivery;Tienda Virtual U...;CUP;185.57
TPE-p-00000-12578;transfermovil;22 de noviembre de 2022;yaquelinelg;on-delivery;Tienda Virtual U...;CUP;237.11
TPE-p-00000-12576;transfermovil;22 de noviembre de 2022;elizabeth.ochoa;on-delivery;Tienda Virtual U...;CUP;185.57
